ICDNames,ICDCode
Herpes simplex infection of perianal skin or rectum,1A94.1
Anogenital herpes simplex infection without further specification,1A94.Z
Anogenital warts,1A95
Anal warts,1A95.0
Genital warts,1A95.1
Extragenital condylomata acuminata,1A95.2
Other specified predominantly sexually transmitted infections,1A9Y
"Predominantly sexually transmitted infections, unspecified",1A9Z
Tuberculosis of the respiratory system,1B10
"Respiratory tuberculosis, confirmed",1B10.0
"Respiratory tuberculosis, not confirmed",1B10.1
"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",1B10.Z
Tuberculosis of the nervous system,1B11
Tuberculous meningitis,1B11.0
Tuberculous meningoencephalitis,1B11.1
Meningeal tuberculoma,1B11.2
Tuberculous granuloma of brain,1B11.3
Tuberculous granuloma of the meninges,1B11.4
Tuberculosis of other specified part of nervous system,1B11.Y
"Tuberculosis of the nervous system, unspecified",1B11.Z
Tuberculosis of other systems and organs,1B12
Tuberculosis of heart,1B12.0
Tuberculosis of eye,1B12.1
Tuberculosis of ear,1B12.2
Tuberculosis of endocrine glands,1B12.3
Tuberculosis of the musculoskeletal system,1B12.4
Tuberculosis of the genitourinary system,1B12.5
Tuberculous peripheral lymphadenopathy,1B12.6
Tuberculosis of the digestive system,1B12.7
Cutaneous tuberculosis,1B12.8
Tuberculosis of other specified organ or site,1B12.Y
Miliary tuberculosis,1B13
Acute miliary tuberculosis of a single specified site,1B13.0
Acute miliary tuberculosis of multiple sites,1B13.1
"Acute miliary tuberculosis, unspecified site",1B13.2
Other specified miliary tuberculosis,1B13.Y
"Miliary tuberculosis, unspecified",1B13.Z
Latent tuberculosis,1B14
Other specified tuberculosis,1B1Y
"Tuberculosis, unspecified",1B1Z
Leprosy,1B20
Paucibacillary leprosy,1B20.0
Multibacillary leprosy,1B20.1
Leprosy reactions,1B20.2
Complications of leprosy,1B20.3
"Leprosy, unspecified",1B20.Z
Infections due to non-tuberculous mycobacteria,1B21
Pulmonary infection due to non-tuberculous mycobacterium,1B21.0
Non-tuberculous mycobacterial lymphadenitis,1B21.1
Cutaneous non-tuberculous mycobacterial infection,1B21.2
Disseminated non-tuberculous mycobacterial infection,1B21.3
Gastrointestinal non-tuberculous mycobacterial infection,1B21.4
Non-tuberculous mycobacterial infection of other specified site,1B21.Y
Non-tuberculous mycobacterial infection of unspecified site,1B21.Z
Other specified mycobacterial diseases,1B2Y
"Mycobacterial diseases, unspecified",1B2Z
Acute rheumatic fever without mention of heart involvement,1B40
"Rheumatic arthritis, acute or subacute",1B40.0
Other specified acute rheumatic fever without mention of heart involvement,1B40.Y
"Acute rheumatic fever without mention of heart involvement, unspecified",1B40.Z
Acute rheumatic fever with heart involvement,1B41
Acute rheumatic pericarditis,1B41.0
Acute rheumatic endocarditis,1B41.1
Acute rheumatic myocarditis,1B41.2
Other acute rheumatic heart disease,1B41.Y
"Acute rheumatic heart disease, unspecified",1B41.Z
Rheumatic chorea,1B42
Scarlet fever,1B50
Streptococcal pharyngitis,1B51
Meningitis due to Streptococcus,1B53
Meningitis due to Staphylococcus,1B54
Other specified staphylococcal or streptococcal diseases,1B5Y
"Staphylococcal or streptococcal diseases, unspecified",1B5Z
"Bacterial cellulitis, erysipelas or lymphangitis",1B70
Erysipelas,1B70.0
Streptococcal cellulitis of skin,1B70.1
Staphylococcal cellulitis of skin,1B70.2
Ascending bacterial lymphangitis,1B70.3
Bacterial cellulitis or lymphangitis due to other specified bacterium,1B70.Y
Bacterial cellulitis or lymphangitis due to unspecified bacterium,1B70.Z
Necrotising fasciitis,1B71
Streptococcal necrotising fasciitis,1B71.0
Polymicrobial necrotising fasciitis,1B71.1
Neonatal necrotising fasciitis,1B71.2
Necrotising fasciitis due to other specified bacterial infection,1B71.Y
"Necrotising fasciitis, unspecified",1B71.Z
Impetigo,1B72
Bullous impetigo,1B72.0
Non-bullous impetigo,1B72.1
Secondary impetiginisation of the skin,1B72.2
Other specified impetigo,1B72.Y
"Impetigo, unspecified",1B72.Z
Ecthyma,1B73
Streptococcal ecthyma,1B73.0
Staphylococcal ecthyma,1B73.1
Ecthyma gangrenosum,1B73.2
Other specified ecthyma,1B73.Y
"Ecthyma, unspecified",1B73.Z
Superficial bacterial folliculitis,1B74
Staphylococcus aureus superficial folliculitis,1B74.0
Superficial bacterial folliculitis due to other specified organism,1B74.Y
Superficial bacterial folliculitis due to unspecified organism,1B74.Z
Deep bacterial folliculitis or pyogenic abscess of the skin,1B75
Furuncle,1B75.0
Carbuncle,1B75.1
Furunculosis,1B75.2
Pyogenic abscess of the skin,1B75.3
Chronic deep bacterial folliculitis,1B75.4
Other specified pyogenic bacterial infection of skin and subcutaneous tissue,1B7Y
Rat-bite fevers,1B90
Spirillosis,1B90.0
Streptobacillosis,1B90.1
Leptospirosis,1B91
Glanders,1B92
Plague,1B93
Bubonic plague,1B93.0
Cellulocutaneous plague,1B93.1
Pneumonic plague,1B93.2
Plague meningitis,1B93.3
Other specified plague,1B93.Y
"Plague, unspecified",1B93.Z
Tularaemia,1B94
Ulceroglandular tularaemia,1B94.0
Other specified tularaemia,1B94.Y
"Tularaemia, unspecified",1B94.Z
Brucellosis,1B95
Erysipeloid,1B96
Anthrax,1B97
Cat-scratch disease,1B98
Pasteurellosis,1B99
Extraintestinal yersiniosis,1B9A
Unspecified zoonotic bacterial disease,1B9Z
Actinomycosis,1C10
Pulmonary actinomycosis,1C10.0
Abdominal actinomycosis,1C10.1
Cervicofacial actinomycosis,1C10.2
Primary cutaneous actinomycosis,1C10.3
Other specified forms of actinomycosis,1C10.Y
"Actinomycosis, unspecified",1C10.Z
Bartonellosis,1C11
Carrion disease,1C11.0
Trench fever,1C11.1
Other forms of bartonellosis,1C11.Y
Whooping cough,1C12
Whooping cough due to Bordetella pertussis,1C12.0
Whooping cough due to Bordetella parapertussis,1C12.1
Other specified whooping cough,1C12.Y
"Whooping cough, unspecified",1C12.Z
Tetanus,1C13
Obstetrical tetanus,1C14
Tetanus neonatorum,1C15
Gas gangrene,1C16
Diphtheria,1C17
Pharyngeal or tonsillar diphtheria,1C17.0
Nasal diphtheria,1C17.1
Laryngeal diphtheria,1C17.2
Cutaneous diphtheria,1C17.3
Other specified diphtheria,1C17.Y
"Diphtheria, unspecified",1C17.Z
Brazilian purpuric fever,1C18
Legionellosis,1C19
Nonpneumonic Legionnaires disease,1C19.0
Legionnaires disease,1C19.1
Listeriosis,1C1A
Cutaneous listeriosis,1C1A.0
Listerial meningitis or meningoencephalitis,1C1A.1
Other specified listeriosis,1C1A.Y
"Listeriosis, unspecified",1C1A.Z
Nocardiosis,1C1B
Pulmonary nocardiosis,1C1B.0
Cutaneous nocardiosis,1C1B.1
Other specified forms of nocardiosis,1C1B.Y
"Nocardiosis, unspecified",1C1B.Z
Meningococcal disease,1C1C
Meningococcal meningitis,1C1C.0
Waterhouse-Friderichsen syndrome,1C1C.1
Meningococcaemia,1C1C.2
Other specified meningococcal disease,1C1C.Y
"Meningococcal disease, unspecified",1C1C.Z
Yaws,1C1D
Primary yaws,1C1D.0
Secondary yaws,1C1D.1
Tertiary yaws,1C1D.2
Latent yaws,1C1D.3
Pinta,1C1E
Primary lesions of pinta,1C1E.0
Intermediate lesions of pinta,1C1E.1
Late lesions of pinta,1C1E.2
Mixed lesions of pinta,1C1E.3
Endemic non-venereal syphilis,1C1F
Lyme borreliosis,1C1G
Early cutaneous Lyme borreliosis,1C1G.0
Disseminated Lyme borreliosis,1C1G.1
Other specified Lyme borreliosis,1C1G.Y
Necrotising ulcerative gingivitis,1C1H
Other Vincent infections,1C1H.0
Other specified necrotising ulcerative gingivitis,1C1H.Y
"Necrotising ulcerative gingivitis, unspecified",1C1H.Z
Relapsing fever,1C1J
Tick-borne relapsing fever,1C1J.0
Louse-borne relapsing fever,1C1J.1
Chlamydial conjunctivitis,1C20
Chlamydial peritonitis,1C21
Infections due to Chlamydia psittaci,1C22
Trachoma,1C23
Initial stage of trachoma,1C23.0
Active stage of trachoma,1C23.1
Other specified trachoma,1C23.Y
"Trachoma, unspecified",1C23.Z
Other specified diseases due to chlamydiae,1C2Y
"Diseases due to chlamydiae, unspecified",1C2Z
Typhus fever,1C30
Epidemic louse-borne typhus fever due to Rickettsia prowazekii,1C30.0
Recrudescent typhus,1C30.1
Typhus fever due to Rickettsia typhi,1C30.2
Typhus fever due to Orientia tsutsugamushi,1C30.3
Other specified typhus fever,1C30.Y
"Typhus fever, unspecified",1C30.Z
Spotted fever,1C31
Spotted fever due to Rickettsia rickettsii,1C31.0
Spotted fever due to Rickettsia conorii,1C31.1
Spotted fever due to Rickettsia sibirica,1C31.2
Spotted fever due to Rickettsia australis,1C31.3
Other specified spotted fever,1C31.Y
"Spotted fever, unspecified",1C31.Z
Rickettsialpox,1C32
Q fever,1C33
Other specified rickettsioses,1C3Y
"Rickettsioses, unspecified",1C3Z
Campylobacteriosis,1C40
Bacterial infection of unspecified site,1C41
Melioidosis,1C42
Actinomycetoma,1C43
Non-pyogenic bacterial infections of the skin,1C44
Toxic shock syndrome,1C45
Streptococcal toxic shock syndrome,1C45.0
Staphylococcal toxic shock syndrome,1C45.1
Toxic shock syndrome due to other specified infectious agent,1C45.Y
Toxic shock syndrome without specified infectious agent,1C45.Z
Other specified bacterial diseases,1C4Y
Unspecified bacterial disease,1C4Z
Human immunodeficiency virus disease associated with tuberculosis,1C60
HIV disease clinical stage 1 associated with tuberculosis,1C60.0
HIV disease clinical stage 2 associated with tuberculosis,1C60.1
HIV disease clinical stage 3 associated with tuberculosis,1C60.2
HIV disease clinical stage 4 associated with tuberculosis,1C60.3
"Human immunodeficiency virus disease associated with tuberculosis, clinical stage unspecified",1C60.Z
Human immunodeficiency virus disease associated with malaria,1C61
HIV disease clinical stage 1 associated with malaria,1C61.0
HIV disease clinical stage 2 associated with malaria,1C61.1
HIV disease clinical stage 3 associated with malaria,1C61.2
HIV disease clinical stage 4 associated with malaria,1C61.3
"Human immunodeficiency virus disease associated with malaria, clinical stage unspecified",1C61.Z
Human immunodeficiency virus disease without mention of tuberculosis or malaria,1C62
HIV disease clinical stage 1 without mention of tuberculosis or malaria,1C62.0
HIV disease clinical stage 2 without mention of tuberculosis or malaria,1C62.1
HIV disease clinical stage 3 without mention of tuberculosis or malaria,1C62.2
HIV disease clinical stage 4 without mention of tuberculosis or malaria,1C62.3
"Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified",1C62.Z
Viral encephalitis not elsewhere classified,1C80
Acute poliomyelitis,1C81
Rabies,1C82
Western equine encephalitis,1C83
Eastern equine encephalitis,1C84
Japanese encephalitis,1C85
St Louis encephalitis,1C86
Rocio viral encephalitis,1C87
Murray Valley encephalitis,1C88
Far Eastern tick-borne encephalitis,1C89
Central European tick-borne encephalitis,1C8A
California encephalitis,1C8B
Venezuelan equine encephalitis,1C8C
La Crosse encephalitis,1C8D
Viral meningitis not elsewhere classified,1C8E
Enteroviral meningitis,1C8E.1
Meningitis due to adenovirus,1C8E.2
Other specified viral meningitis not elsewhere classified,1C8E.Y
"Viral meningitis not elsewhere classified, unspecified",1C8E.Z
Lymphocytic choriomeningitis,1C8F
Other specified viral infections of the central nervous system,1C8Y
"Viral infections of the central nervous system, unspecified",1C8Z
Infectious encephalitis not elsewhere classified,1D00
Bacterial encephalitis,1D00.0
Fungal encephalitis,1D00.1
Parasitic or protozoal encephalitis,1D00.2
Other specified infectious encephalitis not elsewhere classified,1D00.Y
"Infectious encephalitis not elsewhere classified, unspecified",1D00.Z
Infectious meningitis not elsewhere classified,1D01
Bacterial meningitis,1D01.0
Fungal meningitis,1D01.1
Parasitic or protozoal meningitis,1D01.2
Benign recurrent meningitis,1D01.3
Other specified infectious meningitis not elsewhere classified,1D01.Y
"Infectious meningitis not elsewhere classified, unspecified",1D01.Z
Infectious myelitis not elsewhere classified,1D02
Bacterial myelitis,1D02.0
Viral myelitis,1D02.1
Fungal myelitis,1D02.2
Parasitic myelitis,1D02.3
Other specified infectious myelitis not elsewhere classified,1D02.Y
"Infectious myelitis not elsewhere classified, unspecified",1D02.Z
Infectious abscess of the central nervous system,1D03
Intraspinal intramedullary abscess,1D03.0
Intraspinal subdural abscess,1D03.1
Intraspinal extradural abscess,1D03.2
Intracranial abscess,1D03.3
Intraspinal epidural abscess,1D03.4
Spinal cord abscess,1D03.5
Other specified site of infectious abscess of the central nervous system,1D03.Y
"Infectious abscess of the central nervous system, site unspecified",1D03.Z
Infectious granulomas of the central nervous system,1D04
Parasitic intracerebral granuloma,1D04.0
Intracranial granuloma,1D04.1
Intraspinal intramedullary granuloma,1D04.2
Intraspinal subdural granuloma,1D04.3
Intraspinal extradural granuloma,1D04.4
Intraspinal epidural granuloma,1D04.5
Other specified site of infectious granulomas of the central nervous system,1D04.Y
"Infectious granulomas of the central nervous system, site unspecified",1D04.Z
Infectious cysts of the central nervous system,1D05
Epidural infectious cyst,1D05.0
Subdural infectious cyst,1D05.1
Other specified infectious cysts of the central nervous system,1D05.Y
"Infectious cysts of the central nervous system, unspecified",1D05.Z
Other specified non-viral and unspecified infections of the central nervous system,1D0Y
"Non-viral and unspecified infections of the central nervous system, unspecified",1D0Z
Dengue without warning signs,1D20
Dengue with warning signs,1D21
Severe dengue,1D22
"Dengue fever, unspecified",1D2Z
Chikungunya virus disease,1D40
Colorado tick fever,1D41
Onyong-nyong fever,1D42
Oropouche virus disease,1D43
Rift Valley fever,1D44
Sandfly fever,1D45
West Nile virus infection,1D46
Yellow fever,1D47
Zika virus disease,1D48
Crimean-Congo haemorrhagic fever,1D49
Omsk haemorrhagic fever,1D4A
Kyasanur Forest disease,1D4B
Alkhurma haemorrhagic fever,1D4C
Ross River disease,1D4D
Severe fever with thrombocytopenia syndrome,1D4E
Other specified arthropod-borne viral fevers,1D4Y
"Arthropod-borne viral fever, virus unspecified",1D4Z
Filovirus disease,1D60
Ebola disease,1D60.0
Marburg disease,1D60.1
Other specified filovirus disease,1D60.Y
"Filovirus disease, virus unspecified",1D60.Z
Arenavirus disease,1D61
Argentinian haemorrhagic fever,1D61.0
Bolivian haemorrhagic fever,1D61.1
Lassa fever,1D61.2
Venezuelan haemorrhagic fever,1D61.3
Other specified arenavirus disease,1D61.Y
"Arenavirus disease, unspecified",1D61.Z
Hantavirus disease,1D62
Haemorrhagic fever with renal syndrome,1D62.0
Hantavirus pulmonary syndrome,1D62.1
Atypical hantavirus disease,1D62.2
Other specified hantavirus disease,1D62.Y
"Hantavirus disease, unspecified",1D62.Z
Henipavirus encephalitis,1D63
Middle East respiratory syndrome,1D64
Severe acute respiratory syndrome,1D65
Other specified zoonotic viral diseases,1D6Y
"Zoonotic viral disease, virus unspecified",1D6Z
Mumps,1D80
Mumps without complication,1D80.0
Orchitis due to mumps virus,1D80.1
Meningitis due to mumps virus,1D80.2
Encephalitis due to mumps virus,1D80.3
Pancreatitis due to mumps virus,1D80.4
Other specified mumps,1D80.Y
Infectious mononucleosis,1D81
Mononucleosis due to Epstein-Barr virus,1D81.0
Mononucleosis due to cytomegalovirus,1D81.1
Other specified infectious mononucleosis,1D81.Y
"Infectious mononucleosis, unspecified",1D81.Z
Cytomegaloviral disease,1D82
Cytomegaloviral hepatitis,1D82.0
Cytomegaloviral pancreatitis,1D82.1
Other specified cytomegaloviral disease,1D82.Y
"Cytomegaloviral disease, unspecified",1D82.Z
Epidemic myalgia,1D83
Viral conjunctivitis,1D84
Conjunctivitis due to adenovirus,1D84.0
Acute epidemic haemorrhagic conjunctivitis,1D84.1
Other specified viral conjunctivitis,1D84.Y
"Viral conjunctivitis, unspecified",1D84.Z
Viral carditis,1D85
Dilated cardiomyopathy secondary to viral myocarditis,1D85.0
Acute viral carditis,1D85.1
Chronic viral carditis,1D85.2
Aseptic myocarditis of newborn,1D85.3
Coxsackie carditis,1D85.4
Other specified viral carditis,1D85.Y
"Viral carditis, unspecified",1D85.Z
"Viral haemorrhagic fever, not elsewhere classified",1D86
Adenovirus infection of unspecified site,1D90
Enterovirus infection of unspecified site,1D91
"Coronavirus infection, unspecified site",1D92
Parvovirus infection of unspecified site,1D93
Other viral infections of unspecified site,1D9Y
Unspecified viral infection of unspecified site,1D9Z
Other specified viral diseases,1E1Y
Unspecified viral disease,1E1Z
Influenza due to identified seasonal influenza virus,1E30
Influenza due to identified zoonotic or pandemic influenza virus,1E31
"Influenza, virus not identified",1E32
Acute viral hepatitis,1E50
Acute hepatitis A,1E50.0
Acute hepatitis B,1E50.1
Acute hepatitis C,1E50.2
Acute hepatitis D,1E50.3
Acute hepatitis E,1E50.4
Other specified acute viral hepatitis,1E50.Y
"Acute viral hepatitis, unspecified",1E50.Z
Chronic viral hepatitis,1E51
Chronic hepatitis B,1E51.0
Chronic hepatitis C,1E51.1
Chronic hepatitis D,1E51.2
Chronic hepatitis E,1E51.3
Other specified chronic viral hepatitis,1E51.Y
"Chronic viral hepatitis, unspecified",1E51.Z
"Viral hepatitis, unspecified",1E5Z
Smallpox,1E70
Monkeypox,1E71
Cowpox,1E72
Vaccinia,1E73
Buffalopox,1E74
Orf,1E75
Molluscum contagiosum,1E76
Other specified infections due to poxvirus,1E7Y
"Infections due to poxvirus, unspecified",1E7Z
Common warts,1E80
Digital or periungual warts,1E80.0
Plantar warts,1E80.1
Other specified common warts,1E80.Y
Plane warts,1E81
Warts of lips or oral cavity,1E82
Focal epithelial hyperplasia of oral mucous membranes,1E82.0
Wart virus proliferation in immune-deficient states,1E83
"Viral warts, not elsewhere classified",1E8Z
Varicella,1E90
Varicella without complication,1E90.0
Varicella meningitis,1E90.1
Varicella encephalitis,1E90.2
Varicella with other specified complication,1E90.Y
Zoster,1E91
Zoster without complications,1E91.0
Ophthalmic zoster,1E91.1
Disseminated zoster,1E91.2
Zoster with central nervous system involvement,1E91.3
Acute neuropathy of cranial nerve due to zoster,1E91.4
Postherpetic polyneuropathy,1E91.5
Zoster with other specified complications,1E91.Y
"Zoster, unspecified",1E91.Z
Herpes simplex infections,1F00
Herpes simplex infection of skin or mucous membrane,1F00.0
Herpes simplex infection of the eye,1F00.1
Herpes simplex infection of central nervous system,1F00.2
Disseminated herpes simplex infection,1F00.3
Other specified herpes simplex infections,1F00.Y
"Herpes simplex infections, unspecified",1F00.Z
Roseola infantum,1F01
Rubella,1F02
Rubella with neurological complications,1F02.0
Rubella arthritis,1F02.1
Rubella without complication,1F02.2
Rubella with other specified complication,1F02.Y
Measles,1F03
Measles without complication,1F03.0
Measles complicated by encephalitis,1F03.1
Measles complicated by meningitis,1F03.2
Measles with other complications,1F03.Y
Erythema infectiosum,1F04
Picornavirus infections presenting in the skin or mucous membranes,1F05
Enteroviral vesicular stomatitis,1F05.0
Enteroviral vesicular pharyngitis,1F05.1
Enteroviral exanthematous fever,1F05.2
Foot and mouth disease,1F05.3
Other specified picornavirus infections presenting in the skin or mucous membranes,1F05.Y
Other specified viral infections characterised by skin or mucous membrane lesions,1F0Y
"Viral infections characterised by skin or mucous membrane lesions, unspecified",1F0Z
Aspergillosis,1F20
Invasive aspergillosis,1F20.0
Non-invasive aspergillosis,1F20.1
"Aspergillosis, unspecified",1F20.Z
Basidiobolomycosis,1F21
Blastomycosis,1F22
Candidosis,1F23
Candidosis of lips or oral mucous membranes,1F23.0
Candidosis of skin or mucous membranes,1F23.1
Candidosis of gastrointestinal tract,1F23.2
Systemic or invasive candidosis,1F23.3
Other specified candidosis,1F23.Y
"Candidosis, unspecified",1F23.Z
Chromoblastomycosis,1F24
Coccidioidomycosis,1F25
Pulmonary coccidioidomycosis,1F25.0
Extrathoracic coccidioidomycosis,1F25.1
"Coccidioidomycosis, unspecified",1F25.Z
Conidiobolomycosis,1F26
Cryptococcosis,1F27
Pulmonary cryptococcosis,1F27.0
Cerebral cryptococcosis,1F27.1
Disseminated cryptococcosis,1F27.2
Other specified cryptococcosis,1F27.Y
"Cryptococcosis, unspecified",1F27.Z
Dermatophytosis,1F28
Dermatophytosis of scalp,1F28.0
Dermatophytosis of nail,1F28.1
Dermatophytosis of foot,1F28.2
Genitocrural dermatophytosis,1F28.3
Kerion,1F28.4
Disseminated dermatophytosis,1F28.5
Other specified dermatophytosis,1F28.Y
"Dermatophytosis, unspecified",1F28.Z
Eumycetoma,1F29
Histoplasmosis,1F2A
Pulmonary histoplasmosis capsulati,1F2A.0
Histoplasmosis due to Histoplasma duboisii,1F2A.1
Other specified histoplasmosis,1F2A.Y
"Histoplasmosis, unspecified",1F2A.Z
Lobomycosis,1F2B
Mucormycosis,1F2C
Non-dermatophyte superficial dermatomycoses,1F2D
Pityriasis versicolor,1F2D.0
Malassezia folliculitis,1F2D.1
White piedra,1F2D.2
Black piedra,1F2D.3
Tinea nigra,1F2D.4
Onychomycosis due to non-dermatophyte mould,1F2D.5
Other specified non-dermatophyte superficial dermatomycoses,1F2D.Y
Paracoccidioidomycosis,1F2E
Pulmonary paracoccidioidomycosis,1F2E.0
Disseminated paracoccidioidomycosis,1F2E.1
Other specified paracoccidioidomycosis,1F2E.Y
"Paracoccidioidomycosis, unspecified",1F2E.Z
Phaeohyphomycosis,1F2F
Pneumocystosis,1F2G
Pulmonary pneumocystosis,1F2G.0
"Pneumocystosis, unspecified",1F2G.Z
Scedosporiosis,1F2H
Sporotrichosis,1F2J
Lymphocutaneous sporotrichosis,1F2J.0
Fixed cutaneous sporotrichosis,1F2J.1
Pulmonary sporotrichosis,1F2J.2
Disseminated sporotrichosis,1F2J.3
Other specified sporotrichosis,1F2J.Y
"Sporotrichosis, unspecified",1F2J.Z
Talaromycosis,1F2K
Emmonsiosis,1F2L
Disseminated adiaspiromycosis,1F2L.0
Pulmonary adiaspiromycosis,1F2L.1
Other specified emmonsiosis,1F2L.Y
"Emmonsiosis, unspecified",1F2L.Z
Other specified mycoses,1F2Y
"Mycoses, unspecified",1F2Z
Malaria due to Plasmodium falciparum,1F40
Plasmodium falciparum malaria with cerebral complications,1F40.0
Other severe and complicated Plasmodium falciparum malaria,1F40.Y
"Malaria due to Plasmodium falciparum, unspecified",1F40.Z
Malaria due to Plasmodium vivax,1F41
Plasmodium vivax malaria with rupture of spleen,1F41.0
Malaria due to Plasmodium vivax with other complications,1F41.Y
Plasmodium vivax malaria without complication,1F41.Z
Malaria due to Plasmodium malariae,1F42
Plasmodium malariae malaria with nephropathy,1F42.0
Malaria due to Plasmodium malariae with other complications,1F42.Y
Plasmodium malariae malaria without complication,1F42.Z
Malaria due to Plasmodium ovale,1F43
Other parasitologically confirmed malaria,1F44
Malaria without parasitological confirmation,1F45
"Malaria, unspecified",1F4Z
Acanthamoebiasis,1F50
African trypanosomiasis,1F51
Gambiense trypanosomiasis,1F51.0
Rhodesiense trypanosomiasis,1F51.1
Other specified african trypanosomiasis,1F51.Y
"African trypanosomiasis, unspecified",1F51.Z
Babesiosis,1F52
Chagas disease,1F53
Acute Chagas disease without heart involvement,1F53.1
Chronic Chagas disease with heart involvement,1F53.2
Chagas disease with digestive system involvement,1F53.3
Meningitis in Chagas disease,1F53.4
Other specified Chagas disease,1F53.Y
"Chagas disease, unspecified",1F53.Z
Leishmaniasis,1F54
Visceral leishmaniasis,1F54.0
Cutaneous leishmaniasis,1F54.1
